tweet_id,username,user_id,text,created_at,retweet_count,favorite_count
1884505729421230581,LEGAL ALIEN,1669754800416731145,"@EmergenciasEc POR POCO DICE NO SEAS MENTIROSO MMV, JAJAJAJAJA PAR DE PILLOS, DANIEL NOBOA PRESIDENTE 2025-2030, NUNCA MAS EL CARTEL RC5 Y PSC JUNTO A CONSTRUYE",Wed Jan 29 07:35:52 +0000 2025,0,0
1884504322102239300,RT en Español,100731315,"'Guaidó 2.0'  El excandidato presidencial venezolano Edmundo González, prófugo de la Justicia de su país, fue recibido con honores por el presidente ecuatoriano, Daniel Noboa 🇪🇨 https://t.co/Vm9iBhq5Fe",Wed Jan 29 07:30:17 +0000 2025,24,46
1884504301390692357,Efrain Chavarria,1815806673841455104,@UHN_Plus Excelente Presidente Daniel Noboa,Wed Jan 29 07:30:12 +0000 2025,0,0
1884503350961393704,LEGAL ALIEN,1669754800416731145,"@fernandobalda @cpccs VACACIONES TIPO FUGA, ESTE TIENE MAS CAGADAS QUE PALO DE GALLINERO, FALTA LOS 4 VOCALES MAS QUE ESTAN CALLADITOS, SOLO CORRUPCION PROYECTA LA LUISA GONZALEZ, DANIEL NOBOA PRESIDENTE",Wed Jan 29 07:26:25 +0000 2025,0,0
1884499944666472902,Ecuador En Directo,1557207091,"#POLÍTICA    Luego de la reunión entre el presidente de la República, Daniel Noboa y Edmundo González, se definieron tres áreas de cooperación con Venezuela. Una de ellas fue vender hasta 250,000 barriles de petróleo diarios si se sanciona a Nicolás Maduro.      Más información https://t.co/QBjr28EWRA",Wed Jan 29 07:12:53 +0000 2025,2,7
1884499576054321591,FAR FUGITIVODJ,1317625111,SEGUIREMOS FORTALECIENDO AL PAÍS GENERANDO UN AMBIENTE CONFIABLE JUNTOS POR UN NUEVO ECUADOR DANIEL NOBOA AZIN PRESIDENTE ✔️ UNA ASAMBLEA DISTINTA ✔️ UNA SOLA VUELTA ✔️ VOTA TODO 7 ✔️ ADN7 💪🏻💜 ACCIÓN DEMOCRÁTICA NACIONAL #DanielNoboa #danielnoboapresidente #danielnoboaazin https://t.co/mFCLeiatrq,Wed Jan 29 07:11:25 +0000 2025,0,1
1884498861449699831,teleSUR TV,45013575,La campaña electoral en #Ecuador🇪🇨 avanza en medio de la crisis de seguridad y la pelea política entre el presidente Daniel Noboa y la vicepresidenta Verónica Abad https://t.co/kx5sy2yvRa,Wed Jan 29 07:08:35 +0000 2025,3,5
1884495679004803306,Rodica Pavlidis,2351065101,"@eduardomenoni Excelente apoyo! Gracias Presidente Daniel Noboa, su apoyo es excelente!",Wed Jan 29 06:55:56 +0000 2025,0,0
1884490435676025276,JOSE LUIS,1438218416003981313,"@DanielNoboaOk @EdmundoGU Que ridículo Daniel Noboa no había escuchado a un ciudadano conciente hablar y actuar de una forma tan ""infantil"" reconocer un presidente inexistente, Ecuador queda en ridículo ante el mundo pero cada país es consecuencia de las preferencias políticas de sus ciudadanos.",Wed Jan 29 06:35:06 +0000 2025,0,0
1884486034966098112,Realidades 593,3095184863,"El presidente-candidato,  Daniel Noboa, mediante decreto ejecutivo, confirió la Condecoración de la Orden Nacional ""Al Mérito"" en el Grado de Gran Collar, a Edmundo González Urrutia, presidente electo de Venezuela.  #Urgente #DanielNoboa  #Elecciones2025Ec #DanielNoboa https://t.co/5yKVQHXkyY",Wed Jan 29 06:17:37 +0000 2025,0,0
